title,status,location_type,dates,location,organizer,prizes,themes,website,detail_url
"Chain Accelerator is organizing, for Tendermint (tendermint.com) and Université Paris-Dauphine’s FinTech chair, a hackathon on April 13rd-14th 2019",Ended,,"April 13, 2019 - April 15, 2019","Paris, Île-de-France, France",,,"api, blockchain",,https://allhackathons.com/hackathon/chain-accelerator-is-organizing-for-tendermint-tendermint-com-and-universite-paris-dauphines-fintech-chair-a-hackathon-on-april-13rd-14th-2019/
T-Labs Blockchain Identity Hackathon Berlin #TLabsHACK,Ended,,"Jan. 19, 2019 - Jan. 20, 2019","Berlin, State of Berlin, Germany",,,"blockchain, fintech",,https://allhackathons.com/hackathon/t-labs-blockchain-identity-hackathon-berlin-tlabshack/
Shearwater Application Security Hackathon 2018,,,"Nov. 16, 2018",Australia,,,industry,,https://allhackathons.com/hackathon/shearwater-application-security-hackathon-2018/
"Coding With Strangers, Online!",,,"Sept. 29, 2018",Online,,,"ai, api, big data, iot",,https://allhackathons.com/hackathon/coding-with-strangers-online/
“Save Lives by your Hack” during the EmergencyEye® Hackathon am Ring,Ended,,"Feb. 16, 2018 - Feb. 18, 2018",Germany,,,"api, industry, media, security",,https://allhackathons.com/hackathon/save-lives-by-your-hack-during-the-emergencyeye-r-hackathon-am-ring/
MD5: Hacking the Human Element,Ended,,"Dec. 1, 2017 - Dec. 3, 2017","Tampa, Florida, United States",,,wearables,,https://allhackathons.com/hackathon/md5-hacking-the-human-element/
KONE Smart Buildings Hackathon,Ended,,"Sept. 30, 2017 - Oct. 1, 2017","Sunnyvale, California, United States",,,"api, industry, iot",,https://allhackathons.com/hackathon/kone-smart-buildings-hackathon/
Impact Hackathon NYC: API & UX Design,Ended,,"June 1, 2017 - June 7, 2017",United States,,,"api, industry",,https://allhackathons.com/hackathon/impact-hackathon-nyc-api-ux-design/
Hack EMD: Creating the Future of Enterprise AR & VR,Ended,,"April 21, 2017 - April 23, 2017","Austin, Minnesota, United States",,,"games, health, industry, robotics",,https://allhackathons.com/hackathon/hack-emd-creating-the-future-of-enterprise-ar-vr/
GLOBHE Drone Hackathon Series - #1,,,"April 5, 2017","Kigali, Kigali, Rwanda",,,"health, robotics",,https://allhackathons.com/hackathon/globhe-drone-hackathon-series-1/
II Hackathon Open Data Cáceres,,,"Nov. 25, 2016","Cáceres, Extremadura, Spain",,,industry,,https://allhackathons.com/hackathon/ii-hackathon-open-data-caceres/
ubi i/o APIs Hackathon,Ended,,"June 3, 2016 - June 9, 2016","San Francisco, California, United States",,,"api, big data, iot",,https://allhackathons.com/hackathon/ubi-i-o-apis-hackathon/
Mining & Energy in 2025 & Beyond: Technology Symposium,,,"May 26, 2016","Brisbane, Queensland, Australia",,,"energy, industry",,https://allhackathons.com/hackathon/mining-energy-in-2025-beyond-technology-symposium/
Barclays Tech Challenge,Ended,,"May 26, 2016 - May 27, 2016","Liverpool, England, United Kingdom",,,"api, fintech, iot",,https://allhackathons.com/hackathon/barclays-tech-challenge/
Hacking HealthTech with UoN,Ended,,"April 15, 2016 - April 17, 2016","Newcastle, New South Wales, Australia",,,"api, health, iot, wearables",,https://allhackathons.com/hackathon/hacking-healthtech-with-uon/
Distribute! Hack-a-thon,Ended,,"April 9, 2016 - April 17, 2016",United States,,,"api, industry, iot",,https://allhackathons.com/hackathon/distribute-hack-a-thon/
Bits and Bots Hackathon,Ended,,"March 11, 2016 - March 13, 2016",Greece,,,"games, iot, robotics",,https://allhackathons.com/hackathon/bits-and-bots-hackathon/
Hackathon COP21,Ended,,"Dec. 1, 2015 - Dec. 2, 2015","Paris, Île-de-France, France",,,"big data, energy, industry, transport",,https://allhackathons.com/hackathon/hackathon-cop21/
